Name	Type	Waves	Diff Low%	Diff High%	Planet	Notes
Coarse Catbird	Chicken Invasion	30	22%	52%	Gamma Nike	
Oily Hasp	Boss Rush	10	86%	96%	Gamma Nike	
Extroverted Steepness	Chicken Invasion	27	73%	100%	Gamma Nike	
Eminent Aerogel	Chicken Invasion	18	33%	51%	Gamma Nike	
Cheap Trainer	Darkness	15	85%	100%	Gamma Nike	
Comfortable Explanation	Chicken Invasion	10	75%	85%	Gamma Nike	
Crafty Dearie	Chicken Invasion	5	59%	64%	Epsilon Nike	
Mean Translocation	Comet Chase	14	20%	34%	Epsilon Nike	
Disguised Recognizance	Chicken Invasion	20	92%	100%	Epsilon Nike	
Wan Sidesaddle	Boss Rush	8	13%	21%	Epsilon Nike	
Waterlogged Kingmaker	Chicken Invasion	10	87%	97%	Epsilon Nike	
Easy-going Ambassadorship	Chicken Invasion	10	57%	67%	Tau Nike	
Excited Dimer	Chicken Invasion	12	25%	37%	Tau Nike	
Plaintive Dorado	Darkness	30	39%	69%	Tau Nike	
Organic Bridgework	Chicken Invasion	10	37%	47%	Tau Nike	
Clear Broil	Chicken Invasion	5	11%	16%	Tau Nike	
Idealistic Forecourt	Squawk Block	8	79%	87%	Tau Nike	
Pleasing Impeller	Darkness	24	49%	73%	Sigma Nike	
Gregarious Inspector	Chicken Invasion	8	69%	77%	Sigma Nike	
Agile Interpolation	Chicken Invasion	27	0%	27%	Sigma Nike	
Breakable Daikon	Boss Rush	8	31%	39%	Theta Nike	
Intelligent Shopgirl	Chicken Invasion	40	13%	53%	Pi Nike	
Large Prequel	Chicken Invasion	27	82%	100%	Pi Nike	
Frail Sympathy	Chicken Invasion	27	9%	36%	Omicron Nike	
Daring Chromodynamics	Chicken Invasion	18	80%	98%	Omicron Nike	
Staid Crafter	Chicken Invasion	40	17%	57%	Omicron Nike	
Cloudy Trice	Meteor Storm	11	60%	71%	Ananse Ashanti	
Qualified Entailment	Meteor Storm	5	12%	17%	Ananse Ashanti	
Dim Jute	Meteor Storm	14	31%	45%	Ananse Ashanti	
Relieved Apostolate	Meteor Storm	12	14%	26%	Ananse Ashanti	
Well-to-do Phantasm	Supernova	11	53%	64%	Persephone	
Plain Griffon	Supernova	14	66%	80%	Persephone	
Wiry Warlock	Supernova	6	66%	72%	Persephone	
Jagged Mom	Chicken Invasion	20	39%	59%	Persephone	
Electric Foreknowledge	Chicken Invasion	36	60%	96%	Alpha Persephone	
Brown Wineskin	Chicken Invasion	9	75%	84%	Alpha Persephone	
Aching Timeshare	Chicken Invasion	16	81%	97%	Alpha Persephone	
Cooked Fermion	Chicken Invasion	24	4%	28%	Alpha Persephone	
Sharp Backtalk	Chicken Invasion	14	63%	77%	Alpha Persephone	
Fumbling Biometrics	Comet Chase	5	26%	31%	Alpha Persephone	
Hopeful Proposal	Feather Fields	10	8%	18%	Beta Persephone	
Dazzling Rootworm	Chicken Invasion	10	92%	100%	Beta Persephone	
Short-term Silversides	Comet Chase	6	5%	11%	Beta Persephone	
Hidden Confusion	Chicken Invasion	9	85%	94%	Gamma Persephone	
Outrageous Prequel	Squawk Block	17	54%	71%	Gamma Persephone	
Noteworthy Dimer	Chicken Invasion	24	29%	53%	Gamma Persephone	
Scented Backgrounder	Chicken Invasion	12	41%	53%	Gamma Persephone	
Starchy Arthroscopy	Squawk Block	5	67%	72%	Gamma Persephone	
Nervous Tooth	Squawk Block	18	29%	47%	Gamma Persephone	
Vivid Aeroplane	Chicken Invasion	32	17%	49%	Phi Persephone	
Pointed Brainwave	Boss Rush	3	27%	30%	Phi Persephone	
Famous Recrudescence	Chicken Invasion	32	27%	59%	Phi Persephone	
Tart Counteroffer	Comet Chase	8	13%	21%	Epsilon Persephone	
Dimpled Writer	Chicken Invasion	6	52%	58%	Epsilon Persephone	
Both Entry	Boss Rush	4	6%	10%	Epsilon Persephone	
Meager Glitterati	Chicken Invasion	18	77%	95%	Epsilon Persephone	
Valuable Databank	Chicken Invasion	18	0%	18%	Epsilon Persephone	
Uncomfortable Retake	Chicken Invasion	18	39%	57%	Epsilon Persephone	
Exciting Sounder	Supernova	8	74%	82%	Callidice	
Bountiful Flimsy	Supernova	9	29%	38%	Callidice	
Low Interdict	Chicken Invasion	16	68%	84%	Callidice	
Insidious Unknowability	Squawk Block	7	4%	11%	Callidice	
Odd Remodeler	Boss Rush	3	69%	72%	Callidice	
Miniature Deliveryman	Chicken Invasion	10	66%	76%	Callidice	
Legal Recrudescence	Chicken Invasion	28	51%	79%	Callidice	
Firsthand Seatmate	Chicken Invasion	27	17%	44%	Callidice	
Apprehensive Awareness	Chicken Invasion	40	84%	100%	Alpha Callidice	
Wavy Innervation	Boss Rush	3	47%	50%	Alpha Callidice	
Idle Analyst	Chicken Invasion	18	5%	23%	Alpha Callidice	
Unconscious Backstory	Chicken Invasion	21	51%	72%	Beta Callidice	
Complete Deckle	Chicken Invasion	20	59%	79%	Beta Callidice	
Thick Turtledove	Chicken Invasion	20	50%	70%	Beta Callidice	
Sparse Excitement	Feather Fields	15	50%	65%	Beta Callidice	
Fatal Chooser	Chicken Invasion	14	1%	15%	Beta Callidice	
Major Quatrain	Chicken Invasion	15	99%	100%	Beta Callidice	
Ironclad Debe	Squawk Block	14	65%	79%	Chi Callidice	
Next Oriole	Chicken Invasion	27	65%	92%	Chi Callidice	
Colorless Kerf	Chicken Invasion	10	4%	14%	Chi Callidice	
Massive Invalidation	Squawk Block	7	34%	41%	Chi Callidice	
Agile Cupful	Chicken Invasion	30	33%	63%	Chi Callidice	
Wordy Expander	Comet Chase	11	7%	18%	Chi Callidice	
Tedious Fantasyland	Chicken Invasion	12	92%	100%	Phi Callidice	
Hairy Retake	Squawk Block	17	79%	96%	Upsilon Callidice	
Reflecting Hovercraft	Chicken Invasion	9	14%	23%	Upsilon Callidice	
Likely Obeisance	Feather Fields	7	41%	48%	Upsilon Callidice	
Subtle Tennis	Chicken Invasion	24	85%	100%	Upsilon Callidice	
Livid Surfactant	Comet Chase	9	87%	96%	Zeta Callidice	
Brown Revenue	Supernova	15	51%	66%	Britomartis	
Smooth Ejector	Boss Rush	7	97%	100%	Britomartis	
Hoarse Waitstaff	Chicken Invasion	20	19%	39%	Britomartis	
Dry Substitutability	Chicken Invasion	9	29%	38%	Britomartis	
Decimal Revamp	Chicken Invasion	18	15%	33%	Britomartis	
Stupid Blowtorch	Squawk Block	6	20%	26%	Alpha Britomartis	
Actual Teletype	Squawk Block	11	95%	100%	Beta Britomartis	
Unlined Dirt	Chicken Invasion	12	68%	80%	Beta Britomartis	
Adept Presentation	Chicken Invasion	21	25%	46%	Beta Britomartis	
Muffled Vindictiveness	Squawk Block	14	34%	48%	Beta Britomartis	
Fluffy Penury	Chicken Invasion	36	68%	100%	Beta Britomartis	
Well-made Chaparral	Chicken Invasion	10	91%	100%	Chi Britomartis	
Thrifty Currency	Darkness	21	44%	65%	Chi Britomartis	
Belated Shirt	Chicken Invasion	20	90%	100%	Chi Britomartis	
Idle Difficulty	Double Team	5	94%	99%	Phi Britomartis	Sweater + King Crab
Standard Highboy	Feather Fields	13	88%	100%	Phi Britomartis	
Cute Blackfly	Chicken Invasion	15	31%	46%	Phi Britomartis	
Surprised Biowarfare	Double Team	7	96%	100%	Phi Britomartis	U.C.O. 4 + Boss Chick or U.C.O. 4 + Crab V2
Wide-eyed Operation	Chicken Invasion	10	90%	100%	Upsilon Britomartis	
Medium Efficiency	Darkness	10	48%	58%	Upsilon Britomartis	
Noisy Handcart	Chicken Invasion	24	56%	80%	Upsilon Britomartis	
Moral Owner	Chicken Invasion	36	28%	64%	Upsilon Britomartis	
Vicious Bonus	Chicken Invasion	36	27%	63%	Zeta Britomartis	
Competent Concensus	Chicken Invasion	15	51%	66%	Zeta Britomartis	
Joint Conversation	Chicken Invasion	18	68%	86%	Zeta Britomartis	
Tepid Establishment	Chicken Invasion	8	53%	61%	Zeta Britomartis	
Querulous Initiative	Squawk Block	18	31%	49%	Zeta Britomartis	
United Gearhead	Chicken Invasion	24	6%	30%	Sigma Britomartis	
Honorable Griffon	Chicken Invasion	20	42%	62%	Sigma Britomartis	
Livid Comprehensibility	Boss Rush	9	66%	75%	Sigma Britomartis	
Tepid Rapier	Chicken Invasion	24	69%	93%	Sigma Britomartis	
Utter Agreement	Chicken Invasion	20	70%	90%	Sigma Britomartis	
Stylish Molehill	Boss Rush	3	51%	54%	Rho Britomartis	
Yummy Session	Chicken Invasion	24	29%	53%	Rho Britomartis	
Big-hearted Limeade	Chicken Invasion	30	13%	43%	Rho Britomartis	
Enraged Farrago	Squawk Block	11	86%	97%	Rho Britomartis	
Altruistic Ryegrass	Chicken Invasion	18	84%	100%	Rho Britomartis	
Intentional Funeral	Supernova	8	14%	22%	Atreus	
Tired Waft	Supernova	13	7%	20%	Atreus	
Bulky Underline	Supernova	7	7%	14%	Atreus	
Sniveling Paperboy	Chicken Invasion	10	78%	88%	Atreus	
Weird Nailhead	Feather Fields	14	36%	50%	Alpha Atreus	
Winged Rentier	Squawk Block	12	3%	15%	Alpha Atreus	
Fluid Deadweight	Darkness	21	15%	36%	Beta Atreus	
Lumpy Excitement	Chicken Invasion	18	99%	100%	Beta Atreus	
Strong Metalhead	Chicken Invasion	24	14%	38%	Beta Atreus	
Quizzical Agglutination	Chicken Invasion	10	78%	88%	Beta Atreus	
Vague Midnight	Feather Fields	7	58%	65%	Beta Atreus	
Dearest Revamp	Chicken Invasion	7	22%	29%	Beta Atreus	
Juvenile Significance	Chicken Invasion	5	94%	99%	Gamma Atreus	
Untimely Spangle	Boss Rush	5	98%	100%	Gamma Atreus	
Melodic Sleepwear	Chicken Invasion	36	27%	63%	Gamma Atreus	
Thirsty Pilaster	Squawk Block	12	82%	94%	Gamma Atreus	
Milky Icehouse	Squawk Block	10	47%	57%	Gamma Atreus	
Wrathful Estancia	Darkness	5	45%	50%	Delta Atreus	
Specific Basketmaker	Chicken Invasion	20	37%	57%	Delta Atreus	
Deep Cioppino	Chicken Invasion	30	90%	100%	Delta Atreus	
Rectangular Madder	Boss Rush	9	58%	67%	Delta Atreus	
Tart Artfulness	Squawk Block	20	27%	47%	Delta Atreus	
Incredible Hairdryer	Supernova	6	67%	73%	Delas	
Zany Cybernetics	Chicken Invasion	21	18%	39%	Delas	
Wiggly Boomlet	Chicken Invasion	6	97%	100%	Delas	
Handy Chocolatier	Chicken Invasion	8	23%	31%	Delas	
Lovely Villainess	Chicken Invasion	32	71%	100%	Delas	
Bite-sized Territoriality	Chicken Invasion	32	93%	100%	Delas	
Esteemed Engine	Chicken Invasion	12	79%	91%	Alpha Delas	
Creepy Flautist	Chicken Invasion	18	81%	99%	Alpha Delas	
Buttery Gunrunner	Chicken Invasion	27	25%	52%	Alpha Delas	
Unwieldy Desk	Chicken Invasion	36	69%	100%	Alpha Delas	
Weak Hat	Comet Chase	13	94%	100%	Gamma Delas	
Powerless Malleability	Darkness	9	10%	19%	Gamma Delas	
Hateful Ammonite	Chicken Invasion	15	31%	46%	Gamma Delas	
Superficial Elevator	Chicken Invasion	28	97%	100%	Gamma Delas	
Courteous Swale	Chicken Invasion	10	66%	76%	Delta Delas	
Thick Insect	Feather Fields	14	2%	16%	Delta Delas	
Advanced Instruction	Chicken Invasion	8	82%	90%	Delta Delas	
Truthful Drib	Chicken Invasion	30	75%	100%	Upsilon Delas	
Idle Cooperativeness	Chicken Invasion	36	23%	59%	Upsilon Delas	
Familiar Mode	Chicken Invasion	36	87%	100%	Upsilon Delas	
Lean Mapper	Chicken Invasion	18	21%	39%	Upsilon Delas	
Acrobatic Fluorocarbon	Boss Rush	9	35%	44%	Zeta Delas	
Puny Biohazard	Darkness	24	92%	100%	Zeta Delas	
Impartial Agarose	Chicken Invasion	40	15%	55%	Eta Delas	
Inexperienced Comradeship	Boss Rush	9	46%	55%	Eta Delas	
Dismal Tunesmith	Chicken Invasion	32	76%	100%	Eta Delas	
Simple Perspicacity	Supernova	7	60%	67%	Nemesis	
Unaware Oriole	Supernova	7	52%	59%	Nemesis	
Grandiose Panfish	Boss Rush	8	42%	50%	Nemesis	
Unruly Engine	Chicken Invasion	7	54%	61%	Nemesis	
Near Scriptwriter	Feather Fields	12	85%	97%	Nemesis	
Bumpy Assistance	Chicken Invasion	7	67%	74%	Alpha Nemesis	
Only Curandero	Squawk Block	11	28%	39%	Alpha Nemesis	
Cuddly Sassafras	Supernova	5	32%	37%	Porphyrion	
Valuable Republic	Chicken Invasion	6	99%	100%	Porphyrion	
Bouncy Son	Chicken Invasion	12	97%	100%	Porphyrion	
Medium Volume	Darkness	16	25%	41%	Alpha Porphyrion	
Euphoric Cautiousness	Boss Rush	4	68%	72%	Alpha Porphyrion	
Avaricious Teletype	Boss Rush	9	42%	51%	Alpha Porphyrion	
Loathsome Promotion	Boss Rush	10	83%	93%	Alpha Porphyrion	
Valuable Evensong	Darkness	21	65%	86%	Alpha Porphyrion	
Super Busywork	Feather Fields	6	58%	64%	Alpha Porphyrion	
Orange Bookworm	Chicken Invasion	20	31%	51%	Beta Porphyrion	
Favorite Surgery	Chicken Invasion	5	5%	10%	Beta Porphyrion	
Remarkable Indication	Chicken Invasion	8	34%	42%	Beta Porphyrion	
Coarse Feedback	Comet Chase	13	53%	66%	Beta Porphyrion	
Clear-cut Gazette	Darkness	14	60%	74%	Beta Porphyrion	
Striking Gate	Squawk Block	9	45%	54%	Beta Porphyrion	
Known Unavailability	Feather Fields	11	18%	29%	Chi Porphyrion	
Bossy Barberry	Boss Rush	5	52%	57%	Chi Porphyrion	
Frank Bobbin	Chicken Invasion	12	55%	67%	Chi Porphyrion	
Moist Reflection	Darkness	6	76%	82%	Chi Porphyrion	
Staid Molehill	Squawk Block	10	84%	94%	Chi Porphyrion	
Legitimate Bath	Chicken Invasion	32	74%	100%	Delta Porphyrion	
Hidden Lady	Chicken Invasion	10	56%	66%	Delta Porphyrion	
Legal Glucosamine	Darkness	9	74%	83%	Delta Porphyrion	
Plastic Preclusion	Chicken Invasion	40	94%	100%	Epsilon Porphyrion	
Rude Inculcation	Chicken Invasion	21	2%	23%	Epsilon Porphyrion	
Realistic Conversation	Chicken Invasion	18	49%	67%	Epsilon Porphyrion	
Idolized Attender	Chicken Invasion	18	83%	100%	Zeta Porphyrion	
Fresh Presentiment	Chicken Invasion	15	61%	76%	Zeta Porphyrion	
Exotic Agentry	Chicken Invasion	16	93%	100%	Zeta Porphyrion	
Lazy Penstemon	Chicken Invasion	14	55%	69%	Zeta Porphyrion	
Flustered Truncheon	Supernova	6	91%	97%	Eioneus	
Humble Aeroplane	Boss Rush	7	99%	100%	Eioneus	
Costly Chromodynamics	Chicken Invasion	5	41%	46%	Eioneus	
Constant Ratio	Feather Fields	6	91%	97%	Eioneus	
Focused Canvass	Squawk Block	11	98%	100%	Eioneus	
Untried Stromatolite	Chicken Invasion	6	89%	95%	Eioneus	
Itchy Possibility	Chicken Invasion	21	61%	82%	Alpha Eioneus	
Fluid Conversation	Chicken Invasion	10	72%	82%	Alpha Eioneus	
Nifty Nonperformance	Comet Chase	9	77%	86%	Alpha Eioneus	
Third Sabra	Chicken Invasion	28	60%	88%	Alpha Eioneus	
Offensive Cordage	Chicken Invasion	16	43%	59%	Alpha Eioneus	
Pastel Shipowner	Chicken Invasion	18	17%	35%	Alpha Eioneus	
Frightening Pushrod	Chicken Invasion	6	96%	100%	Gamma Eioneus	
Dizzy Breath	Boss Rush	6	69%	75%	Gamma Eioneus	
Functional Cioppino	Chicken Invasion	15	35%	50%	Gamma Eioneus	
Puzzled Destructor	Supernova	14	71%	85%	Ucalegon	
Novel Wigeon	Supernova	12	65%	77%	Ucalegon	
Chief Interpolation	Supernova	8	85%	93%	Ucalegon	
Long-term Gunnel	Boss Rush	10	16%	26%	Ucalegon	
Supportive Poem	Squawk Block	6	39%	45%	Ucalegon	
Flawless Busywork	Chicken Invasion	24	81%	100%	Ucalegon	
Noxious Brainwave	Chicken Invasion	27	90%	100%	Alpha Ucalegon	
Ambitious Backflip	Chicken Invasion	16	64%	80%	Alpha Ucalegon	
Black Guitar	Chicken Invasion	21	83%	100%	Alpha Ucalegon	
Sure-footed Rockfall	Boss Rush	8	29%	37%	Alpha Ucalegon	
Proper Daub	Feather Fields	13	54%	67%	Alpha Ucalegon	
Whopping Gunrunner	Chicken Invasion	10	40%	50%	Beta Ucalegon	
Sardonic Bollard	Chicken Invasion	32	93%	100%	Beta Ucalegon	
Blushing Loss	Darkness	18	91%	100%	Beta Ucalegon	
Honored Typicality	Chicken Invasion	6	2%	8%	Beta Ucalegon	
Sizzling Obeisance	Supernova	12	40%	52%	Alexiares	
Blank Obtuseness	Supernova	15	44%	59%	Alexiares	
Biodegradable Preapproval	Supernova	12	45%	57%	Alexiares	
Suspicious Manager	Chicken Invasion	14	71%	85%	Alexiares	
Tense Midnight	Chicken Invasion	6	11%	17%	Alexiares	
Helpful Argument	Feather Fields	5	92%	97%	Alpha Alexiares	
Costly Polyglot	Chicken Invasion	30	37%	67%	Alpha Alexiares	
Winding Gladiolus	Squawk Block	13	5%	18%	Chi Alexiares	
Extroverted Dreamworld	Darkness	18	79%	97%	Chi Alexiares	
Ready Scorch	Boss Rush	8	72%	80%	Chi Alexiares	
Unknown Chinaberry	Chicken Invasion	10	50%	60%	Chi Alexiares	
Enchanted Tooth	Chicken Invasion	12	66%	78%	Delta Alexiares	
Flamboyant Rootworm	Chicken Invasion	12	13%	25%	Delta Alexiares	
Sick Atmosphere	Squawk Block	13	48%	61%	Delta Alexiares	
Massive Repartee	Chicken Invasion	18	56%	74%	Delta Alexiares	
Breakable Possession	Chicken Invasion	21	18%	39%	Epsilon Alexiares	
Hot Protection	Chicken Invasion	16	82%	98%	Epsilon Alexiares	
Venerated Tradition	Darkness	20	59%	79%	Epsilon Alexiares	
Deserted Euchre	Chicken Invasion	8	55%	63%	Epsilon Alexiares	
Considerate Lodestone	Chicken Invasion	10	86%	96%	Epsilon Alexiares	
Hard Pone	Chicken Invasion	12	93%	100%	Tau Alexiares	
Ready Midnight	Chicken Invasion	16	34%	50%	Sigma Alexiares	
Studious Trouper	Chicken Invasion	7	79%	86%	Rho Alexiares	
Improbable Scruff	Chicken Invasion	9	85%	94%	Rho Alexiares	
Unwelcome Gamesmanship	Chicken Invasion	10	6%	16%	Rho Alexiares	
Motherly Conversation	Boss Rush	8	56%	64%	Rho Alexiares	
Well-off Drib	Boss Rush	7	22%	29%	Rho Alexiares	
Timely Guanine	Supernova	11	52%	63%	Adrastus	
Runny Broadtail	Supernova	8	48%	56%	Adrastus	
Fumbling Indication	Supernova	15	73%	88%	Adrastus	
Direct Editor	Chicken Invasion	40	67%	100%	Adrastus	
Last Difficulty	Squawk Block	10	64%	74%	Adrastus	
Scaly Expander	Chicken Invasion	6	17%	23%	Adrastus	
Free Awareness	Boss Rush	9	95%	100%	Adrastus	
Jovial Impression	Boss Rush	4	73%	77%	Adrastus	
Stained Pyrite	Comet Chase	8	13%	21%	Adrastus	
Conscious Flutist	Boss Rush	3	8%	11%	Alpha Adrastus	
Blushing Euchre	Chicken Invasion	20	6%	26%	Alpha Adrastus	
Snoopy Tipster	Squawk Block	15	92%	100%	Beta Adrastus	
Colorful Garbage	Chicken Invasion	32	9%	41%	Beta Adrastus	
Distorted Combativeness	Chicken Invasion	18	45%	63%	Beta Adrastus	
Nautical Sunburst	Squawk Block	7	39%	46%	Beta Adrastus	
Trim Frogman	Meteor Storm	15	65%	80%	Gaunab	
Icy Battlefront	Meteor Storm	5	59%	64%	Gaunab	
Dramatic Midland	Meteor Storm	13	13%	26%	Gaunab	
Firsthand Birthday	Meteor Storm	12	78%	90%	Gaunab	
Last Furball	Darkness	18	16%	34%	Delta Adrastus	
Subdued Injury	Squawk Block	16	81%	97%	Delta Adrastus	
Bewitched Practicability	Chicken Invasion	16	30%	46%	Delta Adrastus	
Steep Town	Chicken Invasion	16	9%	25%	Delta Adrastus	
Helpless Hydrofoil	Chicken Invasion	27	86%	100%	Delta Adrastus	
Old-fashioned Stalagmite	Boss Rush	8	29%	37%	Delta Adrastus	
Lean Biohazard	Chicken Invasion	8	84%	92%	Upsilon Adrastus	
Evil Son	Chicken Invasion	9	29%	38%	Zeta Adrastus	
Sticky Backlight	Boss Rush	5	30%	35%	Zeta Adrastus	
Gray Soundscape	Comet Chase	10	78%	88%	Zeta Adrastus	
Needy Drogue	Chicken Invasion	15	54%	69%	Eta Adrastus	
Baggy Anxiety	Squawk Block	12	7%	19%	Rho Adrastus	
Merry Subroutine	Feather Fields	5	98%	100%	Rho Adrastus	
Cheery Potato	Comet Chase	10	53%	63%	Rho Adrastus	
Wicked Yawl	Darkness	8	37%	45%	Rho Adrastus	
Sympathetic Sward	Squawk Block	18	6%	24%	Rho Adrastus	
Harsh Truncheon	Supernova	13	36%	49%	Stheneboea	
Trim Privateer	Supernova	14	96%	100%	Stheneboea	
Agile Extent	Supernova	11	59%	70%	Stheneboea	
Rewarding Voile	Chicken Invasion	10	99%	100%	Stheneboea	
Compassionate Scape	Boss Rush	6	43%	49%	Stheneboea	
Cool Cudgel	Comet Chase	12	3%	15%	Stheneboea	
Familiar Bookmobile	Chicken Invasion	8	66%	74%	Stheneboea	
Canine Tribune	Chicken Invasion	24	37%	61%	Stheneboea	
Blaring Doomsayer	Chicken Invasion	24	40%	64%	Alpha Stheneboea	
Colossal Worsted	Boss Rush	9	44%	53%	Alpha Stheneboea	
International Gunfighter	Supernova	12	65%	77%	Anteros	
Sandy Shipowner	Supernova	5	15%	20%	Anteros	
Bumpy Flatworm	Supernova	12	48%	60%	Anteros	
Mediocre Tunesmith	Chicken Invasion	5	1%	6%	Anteros	
Large Oleander	Comet Chase	7	64%	71%	Anteros	
Thunderous Snigger	Chicken Invasion	30	92%	100%	Alpha Anteros	
Virtuous Counterbalance	Squawk Block	8	95%	100%	Beta Anteros	
Tepid Reputation	Boss Rush	10	23%	33%	Beta Anteros	
Icky Goalpost	Squawk Block	14	69%	83%	Beta Anteros	
Thick Obverse	Chicken Invasion	32	53%	85%	Gamma Anteros	
Subtle Injera	Darkness	27	54%	81%	Delta Anteros	
Lasting Backlight	Comet Chase	9	71%	80%	Epsilon Anteros	
Harsh Improvement	Boss Rush	3	7%	10%	Epsilon Anteros	
Smug Pizzicato	Boss Rush	3	80%	83%	Epsilon Anteros	
Little Bagasse	Boss Rush	8	53%	61%	Epsilon Anteros	
Bitter Glaciation	Supernova	8	10%	18%	Steropes	
Deadly Benthos	Supernova	15	17%	32%	Steropes	
Warped Pyrolysis	Supernova	9	79%	88%	Steropes	
Vacant Transmutation	Chicken Invasion	20	7%	27%	Steropes	
Metallic Forecourt	Chicken Invasion	20	65%	85%	Steropes	
Squiggly Pommel	Boss Rush	7	57%	64%	Steropes	
Distinct Childhood	Chicken Invasion	9	54%	63%	Alpha Steropes	
Neglected Feedback	Chicken Invasion	18	93%	100%	Alpha Steropes	
Celebrated Ironstone	Chicken Invasion	40	72%	100%	Alpha Steropes	
Serious Upright	Chicken Invasion	16	0%	16%	Alpha Steropes	
Visible Queen	Chicken Invasion	10	47%	57%	Alpha Steropes	
Bossy Birdcage	Chicken Invasion	21	14%	35%	Beta Steropes	
Incomplete Employer	Chicken Invasion	24	99%	100%	Beta Steropes	
Apt Diamond	Squawk Block	15	29%	44%	Beta Steropes	
Enlightened Gunnel	Chicken Invasion	10	26%	36%	Delta Steropes	
Dishonest Guidance	Comet Chase	7	20%	27%	Delta Steropes	
Worthless Bollworm	Boss Rush	5	50%	55%	Delta Steropes	
Unsightly Isinglass	Boss Rush	5	54%	59%	Delta Steropes	
Orange Chesterfield	Chicken Invasion	7	91%	98%	Delta Steropes	
Black Packinghouse	Chicken Invasion	28	48%	76%	Delta Steropes	
Sweltering Antinomy	Feather Fields	11	38%	49%	Epsilon Steropes	
Profuse Metaphysician	Boss Rush	8	21%	29%	Zeta Steropes	
Unfortunate Pilaster	Chicken Invasion	20	97%	100%	Zeta Steropes	
Responsible Dad	Chicken Invasion	27	14%	41%	Zeta Steropes	
Sick Oddment	Chicken Invasion	24	20%	44%	Zeta Steropes	
Self-assured Tussock	Chicken Invasion	40	3%	43%	Zeta Steropes	
Wrathful Anhydride	Comet Chase	5	94%	99%	Zeta Steropes	
High Handclasp	Supernova	8	98%	100%	Periphetes	
Intrepid Citron	Supernova	8	1%	9%	Periphetes	
Willing Poem	Chicken Invasion	20	60%	80%	Periphetes	
Quintessential Clothes	Boss Rush	8	52%	60%	Periphetes	
Flaky Guanine	Comet Chase	14	37%	51%	Periphetes	
Limping Legitimization	Comet Chase	9	35%	44%	Periphetes	
Coarse Carob	Chicken Invasion	6	83%	89%	Periphetes	
Dopey Employer	Chicken Invasion	18	35%	53%	Alpha Periphetes	
Quiet Crabapple	Chicken Invasion	6	93%	99%	Alpha Periphetes	
Wretched Disembarkation	Squawk Block	8	98%	100%	Alpha Periphetes	
Shimmering Lustre	Chicken Invasion	12	75%	87%	Alpha Periphetes	
Firsthand Ripcord	Chicken Invasion	20	72%	92%	Psi Periphetes	
Tender Dinner	Chicken Invasion	12	54%	66%	Psi Periphetes	
Incomparable Coffee	Chicken Invasion	20	45%	65%	Psi Periphetes	
Shoddy Zester	Comet Chase	8	43%	51%	Psi Periphetes	
Noteworthy Orange	Chicken Invasion	40	79%	100%	Psi Periphetes	
Inborn Chamberlain	Feather Fields	9	84%	93%	Gamma Periphetes	
Content Honey	Chicken Invasion	20	75%	95%	Gamma Periphetes	
Dense Sullenness	Chicken Invasion	6	11%	17%	Gamma Periphetes	
Ringed Jackknife	Chicken Invasion	7	74%	81%	Gamma Periphetes	
Extraneous Scrunchie	Boss Rush	7	3%	10%	Gamma Periphetes	
Massive Clairvoyance	Chicken Invasion	12	24%	36%	Gamma Periphetes	
Rash Pyrolysis	Supernova	14	36%	50%	Prosymnus	
Hot Adverbial	Supernova	5	70%	75%	Prosymnus	
Pertinent Friary	Squawk Block	13	65%	78%	Prosymnus	
Snappy Defacement	Squawk Block	11	89%	100%	Alpha Prosymnus	
Excited Antinomy	Chicken Invasion	12	22%	34%	Beta Prosymnus	
Natural Bevel	Squawk Block	9	85%	94%	Beta Prosymnus	
Used Volute	Squawk Block	15	69%	84%	Beta Prosymnus	
Admired Impression	Chicken Invasion	18	89%	100%	Beta Prosymnus	
Simplistic Hillbilly	Chicken Invasion	36	57%	93%	Beta Prosymnus	
Testy Starfield	Chicken Invasion	24	39%	63%	Beta Prosymnus	
Cooked Sward	Boss Rush	5	83%	88%	Delta Prosymnus	
Doting Delimitation	Chicken Invasion	5	97%	100%	Delta Prosymnus	
Cold Lodestar	Comet Chase	15	16%	31%	Delta Prosymnus	
Creamy Cupful	Boss Rush	5	96%	100%	Delta Prosymnus	
Well-lit Tutee	Chicken Invasion	9	0%	9%	Delta Prosymnus	
Puzzled Citron	Darkness	15	78%	93%	Delta Prosymnus	
Kooky Delimitation	Supernova	15	23%	38%	Gaia	
Well-groomed Speech	Supernova	9	3%	12%	Gaia	
Big-hearted Restaurant	Supernova	10	3%	13%	Gaia	
Half Classifieds	Chicken Invasion	10	81%	91%	Gaia	
Musty Uncle	Chicken Invasion	24	15%	39%	Gaia	
Kindhearted Broadtail	Feather Fields	14	34%	48%	Gaia	
Hurtful King	Chicken Invasion	10	9%	19%	Gaia	
Lumpy Hasp	Chicken Invasion	7	67%	74%	Gaia	
Empty Chocolatier	Meteor Storm	5	86%	91%	Mantchu Muchangu	
Reliable Baluster	Meteor Storm	10	19%	29%	Mantchu Muchangu	
Gargantuan Scow	Meteor Storm	6	67%	73%	Mantchu Muchangu	
Which Blowtorch	Boss Rush	9	47%	56%	Gamma Gaia	
Sniveling Contemporaneity	Chicken Invasion	20	20%	40%	Gamma Gaia	
